	company.value	companyLabel.xml:lang	companyLabel.value	numEmployees.value	point.value
11456	http://www.wikidata.org/entity/Q28201164	en	Kaufland Česká republika	11097	2018-01-01T00:00:00Z
11457	http://www.wikidata.org/entity/Q28201164	en	Kaufland Česká republika	12302	2016-01-01T00:00:00Z
11458	http://www.wikidata.org/entity/Q28201164	en	Kaufland Česká republika	11914	2017-01-01T00:00:00Z
11459	http://www.wikidata.org/entity/Q28201164	en	Kaufland Česká republika	11176	2019-01-01T00:00:00Z
11460	http://www.wikidata.org/entity/Q28201164	en	Kaufland Česká republika	11264	2021-01-01T00:00:00Z
11461	http://www.wikidata.org/entity/Q28325357	en	E.ON Energie	231	2016-01-01T00:00:00Z
11462	http://www.wikidata.org/entity/Q28325357	en	E.ON Energie	317	2019-01-01T00:00:00Z
11463	http://www.wikidata.org/entity/Q28325357	en	E.ON Energie	326	2018-01-01T00:00:00Z
11464	http://www.wikidata.org/entity/Q28325357	en	E.ON Energie	261	2021-01-01T00:00:00Z
11465	http://www.wikidata.org/entity/Q28325357	en	E.ON Energie	262	2017-01-01T00:00:00Z
11466	http://www.wikidata.org/entity/Q28325357	en	E.ON Energie	270	2020-01-01T00:00:00Z
11467	http://www.wikidata.org/entity/Q28654836	en	Tesco Stores ČR	10158	2019-01-01T00:00:00Z
11468	http://www.wikidata.org/entity/Q28654836	en	Tesco Stores ČR	7874	2021-01-01T00:00:00Z
11469	http://www.wikidata.org/entity/Q28654836	en	Tesco Stores ČR	10633	2018-01-01T00:00:00Z
11470	http://www.wikidata.org/entity/Q28654836	en	Tesco Stores ČR	9004	2020-01-01T00:00:00Z
11471	http://www.wikidata.org/entity/Q28654836	en	Tesco Stores ČR	11210	2017-01-01T00:00:00Z
11472	http://www.wikidata.org/entity/Q28654836	en	Tesco Stores ČR	11198	2016-01-01T00:00:00Z
11473	http://www.wikidata.org/entity/Q28471437	en	Allwyn International	1660	2017-01-01T00:00:00Z
11474	http://www.wikidata.org/entity/Q28471437	en	Allwyn International	1364	2016-01-01T00:00:00Z
11475	http://www.wikidata.org/entity/Q28471437	en	Allwyn International	248	2013-01-01T00:00:00Z
11476	http://www.wikidata.org/entity/Q28471437	en	Allwyn International	0	2012-01-01T00:00:00Z
