	ceoname.value	company.value	companyLabel.xml:lang	companyLabel.value	ceonameLabel.xml:lang	ceonameLabel.value	starttime.value
2198	http://www.wikidata.org/entity/Q116295181	http://www.wikidata.org/entity/Q885589	en	BlueScope Steel	en	Mark Royce Vassella	2018-01-01T00:00:00Z
2199	http://www.wikidata.org/entity/Q116295181	http://www.wikidata.org/entity/Q885589	en	BlueScope Steel	en	Mark Royce Vassella	2018-01-01T00:00:00Z
2200	http://www.wikidata.org/entity/Q116376004	http://www.wikidata.org/entity/Q2303478	en	Synopsys	en	Harvey C. Jones	1987-01-01T00:00:00Z
2201	http://www.wikidata.org/entity/Q116376004	http://www.wikidata.org/entity/Q2303478	en	Synopsys	en	Harvey C. Jones	1987-01-01T00:00:00Z
2202	http://www.wikidata.org/entity/Q95448424	http://www.wikidata.org/entity/Q12058918	en	Thomayer Hospital	en	Zdeněk Beneš	2015-07-01T00:00:00Z
2203	http://www.wikidata.org/entity/Q63345439	http://www.wikidata.org/entity/Q25499288	en	Northway Biotech	en	Giedrius Žunda	2018-12-03T00:00:00Z
2204	http://www.wikidata.org/entity/Q95692568	http://www.wikidata.org/entity/Q77954859	en	Vy Tog	en	Arne Fosen	2017-01-01T00:00:00Z
2205	http://www.wikidata.org/entity/Q110275912	http://www.wikidata.org/entity/Q110304271	en	Big Ten Football SL	en	Bart Iaccarino	2021-01-01T00:00:00Z
2206	http://www.wikidata.org/entity/Q116141928	http://www.wikidata.org/entity/Q340135	en	Československá obchodní banka	en	Aleš Blažek	2022-01-01T00:00:00Z
2207	http://www.wikidata.org/entity/Q116141928	http://www.wikidata.org/entity/Q340135	en	Československá obchodní banka	en	Aleš Blažek	2022-01-01T00:00:00Z
2208	http://www.wikidata.org/entity/Q115947198	http://www.wikidata.org/entity/Q898750	en	Teva- Pharmaceutical Industries Ltd.	en	Richard Francis	2023-01-01T00:00:00Z
2209	http://www.wikidata.org/entity/Q115947198	http://www.wikidata.org/entity/Q898750	en	Teva- Pharmaceutical Industries Ltd.	en	Richard Francis	2023-01-01T00:00:00Z
2210	http://www.wikidata.org/entity/Q63410046	http://www.wikidata.org/entity/Q14662364	en	AbbVie	en	Richard A. Gonzalez	2013-01-01T00:00:00Z
2211	http://www.wikidata.org/entity/Q95366017	http://www.wikidata.org/entity/Q88959995	en	PPF investiční holding	en	Přemysl Voráč	1991-01-01T00:00:00Z
2212	http://www.wikidata.org/entity/Q63400080	http://www.wikidata.org/entity/Q206921	en	Pfizer	en	Albert Bourla	2019-01-01T00:00:00Z
2213	http://www.wikidata.org/entity/Q110551227	http://www.wikidata.org/entity/Q936325	en	Terna	en	Stefano Antonio Donnarumma	2020-05-01T00:00:00Z
2214	http://www.wikidata.org/entity/Q110551227	http://www.wikidata.org/entity/Q936325	en	Terna	en	Stefano Antonio Donnarumma	2020-05-01T00:00:00Z
2215	http://www.wikidata.org/entity/Q63412939	http://www.wikidata.org/entity/Q3143138	en	Humanis	en	Thomas Saunier	2018-10-02T00:00:00Z
2216	http://www.wikidata.org/entity/Q110247071	http://www.wikidata.org/entity/Q111327287	en	Bongo Times Now	en	Josephs Quartzy	2019-01-01T00:00:00Z
2217	http://www.wikidata.org/entity/Q115909023	http://www.wikidata.org/entity/Q115908969	en	Radio Total	en	Pablo Pereiro Lage	2018-01-01T00:00:00Z
2218	http://www.wikidata.org/entity/Q63344879	http://www.wikidata.org/entity/Q838387	en	Titan Cement	en	Dimitris Papalexopoulos	1996-01-01T00:00:00Z
2219	http://www.wikidata.org/entity/Q63344879	http://www.wikidata.org/entity/Q838387	en	Titan Cement	en	Dimitris Papalexopoulos	1996-01-01T00:00:00Z
2220	http://www.wikidata.org/entity/Q95813322	http://www.wikidata.org/entity/Q901262	en	Grifols	en	Raimon Grífols i Roura	2017-01-01T00:00:00Z
2221	http://www.wikidata.org/entity/Q95813322	http://www.wikidata.org/entity/Q901262	en	Grifols	en	Raimon Grífols i Roura	2017-01-01T00:00:00Z
2222	http://www.wikidata.org/entity/Q95813166	http://www.wikidata.org/entity/Q901262	en	Grifols	en	Víctor Grífols Deu	2017-01-01T00:00:00Z
2223	http://www.wikidata.org/entity/Q95813166	http://www.wikidata.org/entity/Q901262	en	Grifols	en	Víctor Grífols Deu	2017-01-01T00:00:00Z
2224	http://www.wikidata.org/entity/Q64140997	http://www.wikidata.org/entity/Q42825991	en	EWE Netz	en	Heiko Fastje	2009-01-01T00:00:00Z
2225	http://www.wikidata.org/entity/Q64140997	http://www.wikidata.org/entity/Q42825991	en	EWE Netz	en	Heiko Fastje	2009-01-01T00:00:00Z
2226	http://www.wikidata.org/entity/Q64141008	http://www.wikidata.org/entity/Q42825991	en	EWE Netz	en	Hans-Joachim Iken	2011-01-01T00:00:00Z
2227	http://www.wikidata.org/entity/Q64140990	http://www.wikidata.org/entity/Q42825991	en	EWE Netz	en	Torsten Maus	2006-01-01T00:00:00Z
2228	http://www.wikidata.org/entity/Q95569597	http://www.wikidata.org/entity/Q306764	en	Abbott Laboratories	en	Robert B. Ford	2020-01-01T00:00:00Z
2229	http://www.wikidata.org/entity/Q95569597	http://www.wikidata.org/entity/Q306764	en	Abbott Laboratories	en	Robert B. Ford	2020-01-01T00:00:00Z
2230	http://www.wikidata.org/entity/Q63981759	http://www.wikidata.org/entity/Q663596	en	Gilead Sciences	en	Daniel O'Day	2019-03-01T00:00:00Z
2231	http://www.wikidata.org/entity/Q63981759	http://www.wikidata.org/entity/Q663596	en	Gilead Sciences	en	Daniel O'Day	2019-03-01T00:00:00Z
