	subsidiaryId.value	company.value	industry.value	starttime.value	industry2.value	companyLabel.xml:lang	companyLabel.value	subsidiaryIdLabel.xml:lang	subsidiaryIdLabel.value	industryLabel.xml:lang	industryLabel.value	industry2Label.xml:lang	industry2Label.value
393	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q936518	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	aerospace manufacturer	en	aircraft industry
394	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q936518	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	aerospace manufacturer	en	aircraft industry
395	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q1875606	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	aircraft industry	en	aircraft industry
396	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q1875606	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	aircraft industry	en	aircraft industry
397	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q3798668	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	aerospace engineering	en	aircraft industry
398	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q3798668	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	aerospace engineering	en	aircraft industry
399	http://www.wikidata.org/entity/Q584601	http://www.wikidata.org/entity/Q4037686	http://www.wikidata.org/entity/Q171141	1973-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1445627	en	Dunkin' Brands	en	Baskin-Robbins	en	gastronomy	en	ice cream manufacturer
400	http://www.wikidata.org/entity/Q584601	http://www.wikidata.org/entity/Q4037686	http://www.wikidata.org/entity/Q171141	1973-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1445627	en	Dunkin' Brands	en	Baskin-Robbins	en	gastronomy	en	ice cream manufacturer
401	http://www.wikidata.org/entity/Q584961	http://www.wikidata.org/entity/Q1958759	http://www.wikidata.org/entity/Q126793	1997-01-01T00:00:00Z		en	Müller	en	Obletter	en	retail		
402	http://www.wikidata.org/entity/Q584961	http://www.wikidata.org/entity/Q1958759	http://www.wikidata.org/entity/Q126793	1997-01-01T00:00:00Z		en	Müller	en	Obletter	en	retail		
